task_id,query_id,result_type,item_id,timestamp,duration
1,0,left,1,1577688565007,166
1,0,up,1,1577688565306,176
1,0,left,1,1577688565691,837
1,0,up,1,1577688566942,374
1,0,left,1,1577688567693,55
1,0,right,1,1577688628122,112
1,0,left,1,1577688628618,227
1,0,up,1,1577688628957,75
1,0,left,2,1577688629253,1300
2,0,left,1,1577687538918,112
2,0,left,2,1577687539392,499
2,0,left,4,1577687540003,354
2,0,left,3,1577687544541,130
2,0,left,5,1577687544929,2763
2,0,left,4,1577687650850,120
2,0,left,5,1577687652273,2600
2,0,left,7,1577687656447,795
2,0,left,6,1577687657533,1561
2,0,left,5,1577687659520,3665
2,0,left,4,1577687665364,471
3,0,up,1,1577686863194,342
3,0,left,1,1577686863612,423
3,0,left,2,1577686864234,543
3,0,left,1,1577686864852,1193
3,0,up,1,1577686916820,199
3,0,left,2,1577686917683,355
3,0,left,1,1577686918238,114
3,0,left,2,1577686918699,294
4,0,left,1,1577689571534,354
4,0,up,1,1577689571994,132
4,0,left,1,1577689572531,913
5,0,up,1,1577689881854,180
5,0,left,1,1577689882070,1388
5,0,up,1,1577689912851,187
6,0,left,1,1577688332034,599
6,0,left,2,1577688332739,4551
6,0,left,3,1577688381555,693
6,0,left,4,1577688383444,288
6,0,left,6,1577688384596,837
6,0,left,9,1577688395796,84
6,0,left,11,1577688406052,13
6,0,bot,1,1577688406409,146
6,0,left,7,1577688410991,180
6,0,left,5,1577688411308,49
6,0,left,3,1577688411458,267
6,0,left,1,1577688411824,237
6,0,left,2,1577688412098,3412
6,0,left,1,1577688416456,1819
6,0,right,1,1577688423137,281
7,0,up,1,1577689382330,36
7,0,left,1,1577689382585,691
7,0,left,2,1577689383540,1351
8,0,up,1,1577688725267,151
8,0,left,1,1577688725457,750
8,0,left,2,1577688726324,848
8,0,left,3,1577688727360,826
8,0,left,2,1577688728339,1625
8,0,left,1,1577688795824,539
8,0,left,2,1577688796473,482
8,0,left,3,1577688797107,1004
8,0,left,1,1577688798515,645
8,0,up,1,1577688799268,228
8,0,left,1,1577688811628,60
8,0,left,5,1577688812446,5119
8,0,left,4,1577688818916,473
8,0,left,5,1577688819425,627
8,0,left,4,1577688820165,3100
8,0,left,5,1577688823748,74
8,0,left,4,1577688823859,1531
8,0,left,7,1577688826224,552
8,0,left,10,1577688831764,232
8,0,left,11,1577688836500,195
9,0,left,1,1577689469450,108
9,0,up,1,1577689469594,357
9,0,left,1,1577689470015,449
9,0,left,2,1577689470639,176
9,0,up,1,1577689470884,500
10,0,left,1,1577689661942,3016
10,0,left,2,1577689719412,434
10,0,left,4,1577689722062,338
10,0,left,7,1577689723494,257
10,0,left,8,1577689723826,384
10,0,left,5,1577689727087,339
10,0,left,11,1577689727542,493
11,0,up,1,1577686690840,232
11,0,left,1,1577686691806,107
11,0,left,2,1577686691984,108
11,0,up,1,1577686692303,71
11,0,left,1,1577686692448,74
11,0,up,1,1577686692561,416
11,0,left,1,1577686703671,174
11,0,left,3,1577686704024,211
11,0,left,2,1577686704319,280
11,0,left,1,1577686704638,120
11,0,left,2,1577686704801,284
11,0,left,3,1577686705161,260
11,0,left,4,1577686705462,976
11,0,up,1,1577686706625,628
11,0,left,1,1577686708153,139
11,0,up,1,1577686709103,123
11,0,left,1,1577686709308,86
11,0,up,1,1577686709575,251
11,0,left,3,1577686712636,591
11,0,left,4,1577686713438,373
11,0,left,5,1577686714060,16
11,0,left,7,1577686714154,153
11,0,left,9,1577686716075,548
11,0,left,10,1577686716987,21
11,0,left,12,1577686717136,256
11,0,left,7,1577686719860,154
11,0,left,5,1577686720103,275
11,0,left,4,1577686722876,1
11,0,left,1,1577686723067,429
11,0,up,1,1577686723572,152
11,0,left,1,1577686724853,1159
11,0,left,2,1577686726751,440
11,0,left,1,1577686727345,180
11,0,up,1,1577686727562,663
12,0,up,1,1577687344266,80
12,0,left,2,1577687345039,418
12,0,left,1,1577687345906,190
12,0,left,2,1577687346133,458
12,0,left,1,1577687350660,86
12,0,up,1,1577687351028,355
12,0,left,1,1577687351666,273
12,0,up,1,1577687352171,151
12,0,left,3,1577687352438,286
12,0,left,2,1577687352763,749
12,0,left,5,1577687354474,247
12,0,left,6,1577687357189,75
12,0,left,5,1577687357304,146
12,0,left,6,1577687357571,198
12,0,left,5,1577687357965,944
12,0,left,6,1577687405630,171
12,0,left,4,1577687405892,206
13,0,left,1,1577688985294,995
14,0,left,1,1577689260208,755
14,0,left,2,1577689261351,598
14,0,left,1,1577689262059,1726
14,0,left,2,1577689265449,2356
14,0,up,1,1577689301702,362
14,0,left,1,1577689302101,368
14,0,left,3,1577689302647,183
14,0,left,2,1577689302940,107
14,0,left,3,1577689303083,142
15,0,up,1,1577687925399,149
15,0,left,1,1577687925585,1798
15,0,left,3,1577687979758,148
16,0,left,1,1577689088666,581
16,0,left,2,1577689089353,131
16,0,left,1,1577689089843,1273
16,0,left,3,1577689091404,312
16,0,left,5,1577689134445,176
17,0,up,1,1577687104279,905
17,0,left,1,1577687106790,1230
17,0,up,1,1577687167290,148
17,0,left,1,1577687167476,587
17,0,left,2,1577687168780,21
17,0,left,3,1577687169023,48
17,0,left,2,1577687169223,74
17,0,left,1,1577687170108,2
17,0,left,3,1577687171204,287
17,0,left,5,1577687171716,147
17,0,left,7,1577687172090,226
17,0,left,6,1577687172676,217
17,0,left,4,1577687173772,149
17,0,up,1,1577687174373,620
17,0,left,1,1577687175040,118
18,0,left,1,1577690017677,694
18,0,left,2,1577690018604,1037
18,0,left,3,1577690019783,317
18,0,left,4,1577690020170,486
18,0,left,1,1577690020759,209
18,0,left,2,1577690021003,315
18,0,left,1,1577690021423,1027
19,0,left,2,1577687794869,72
19,0,left,1,1577687795226,169
19,0,up,1,1577687795433,135
19,0,left,1,1577687795603,407
19,0,left,2,1577687796112,472
19,0,left,3,1577687796688,519
